Date,Open,High,Low,Close
12-Jul-07,"1,518.74","1,547.92","1,518.74","1,547.70"
13-Jul-07,"1,547.68","1,555.10","1,544.85","1,552.50"
16-Jul-07,"1,552.50","1,555.90","1,546.69","1,549.52"
17-Jul-07,"1,549.52","1,555.32","1,547.74","1,549.37"
18-Jul-07,"1,549.20","1,549.20","1,533.67","1,546.17"
19-Jul-07,"1,546.13","1,555.20","1,546.13","1,553.08"
20-Jul-07,"1,553.19","1,553.19","1,529.20","1,534.10"
23-Jul-07,"1,534.06","1,547.23","1,534.06","1,541.57"
24-Jul-07,"1,541.57","1,541.57","1,508.62","1,511.04"
25-Jul-07,"1,511.03","1,524.31","1,503.73","1,518.09"
26-Jul-07,"1,518.09","1,518.09","1,465.30","1,482.66"
27-Jul-07,"1,482.44","1,488.53","1,458.95","1,458.95"
30-Jul-07,"1,458.93","1,477.88","1,454.32","1,473.91"
31-Jul-07,"1,473.90","1,488.30","1,454.25","1,455.27"
1-Aug-07,"1,455.18","1,468.38","1,439.59","1,465.81"
2-Aug-07,"1,465.46","1,476.43","1,460.58","1,472.20"
3-Aug-07,"1,472.18","1,473.23","1,432.80","1,433.06"
6-Aug-07,"1,433.04","1,467.67","1,427.39","1,467.67"
7-Aug-07,"1,467.62","1,488.30","1,455.80","1,476.71"
8-Aug-07,"1,476.22","1,503.89","1,476.22","1,497.49"
9-Aug-07,"1,497.21","1,497.21","1,453.09","1,453.09"
10-Aug-07,"1,453.09","1,462.02","1,429.74","1,453.64"
13-Aug-07,"1,453.42","1,466.29","1,451.54","1,452.92"
14-Aug-07,"1,452.87","1,456.74","1,426.20","1,426.54"
15-Aug-07,"1,426.15","1,440.78","1,404.36","1,406.70"
16-Aug-07,"1,406.64","1,415.97","1,370.60","1,411.27"
17-Aug-07,"1,411.26","1,450.33","1,411.26","1,445.94"
20-Aug-07,"1,445.94","1,451.75","1,430.54","1,445.55"
21-Aug-07,"1,445.55","1,455.32","1,439.76","1,447.12"
22-Aug-07,"1,447.03","1,464.86","1,447.03","1,464.07"
23-Aug-07,"1,464.05","1,472.06","1,453.88","1,462.50"
24-Aug-07,"1,462.34","1,479.40","1,460.54","1,479.37"
27-Aug-07,"1,479.36","1,479.36","1,465.98","1,466.79"
28-Aug-07,"1,466.72","1,466.72","1,432.01","1,432.36"
29-Aug-07,"1,432.01","1,463.76","1,432.01","1,463.76"
30-Aug-07,"1,463.67","1,468.43","1,451.25","1,457.64"
31-Aug-07,"1,457.61","1,481.47","1,457.61","1,473.99"
4-Sep-07,"1,473.96","1,496.40","1,472.15","1,489.42"
5-Sep-07,"1,488.76","1,488.76","1,466.34","1,472.29"
6-Sep-07,"1,472.03","1,481.49","1,467.41","1,478.55"
7-Sep-07,"1,478.55","1,478.55","1,449.07","1,453.55"
10-Sep-07,"1,453.50","1,462.25","1,439.29","1,451.70"
11-Sep-07,"1,451.69","1,472.48","1,451.69","1,471.49"
12-Sep-07,"1,471.10","1,479.50","1,465.75","1,471.56"
13-Sep-07,"1,471.47","1,489.58","1,471.47","1,483.95"
14-Sep-07,"1,483.95","1,485.99","1,473.18","1,484.25"
17-Sep-07,"1,484.24","1,484.24","1,471.82","1,476.65"
18-Sep-07,"1,476.63","1,519.89","1,476.63","1,519.78"
19-Sep-07,"1,519.75","1,538.74","1,519.75","1,529.03"
20-Sep-07,"1,528.69","1,529.14","1,516.42","1,518.75"
21-Sep-07,"1,518.75","1,530.89","1,518.75","1,525.75"
24-Sep-07,"1,525.75","1,530.18","1,516.15","1,517.73"
25-Sep-07,"1,516.34","1,518.27","1,507.13","1,517.21"
26-Sep-07,"1,518.62","1,529.39","1,518.62","1,525.42"
27-Sep-07,"1,527.32","1,532.46","1,525.81","1,531.38"
28-Sep-07,"1,531.24","1,533.74","1,521.99","1,526.75"
1-Oct-07,"1,527.29","1,549.02","1,527.25","1,547.04"
2-Oct-07,"1,546.96","1,548.01","1,540.37","1,546.63"
3-Oct-07,"1,545.80","1,545.84","1,536.34","1,539.59"
4-Oct-07,"1,539.91","1,544.02","1,537.63","1,542.84"
5-Oct-07,"1,543.84","1,561.91","1,543.84","1,557.59"
8-Oct-07,"1,556.51","1,556.51","1,549.00","1,552.58"
9-Oct-07,"1,553.18","1,565.26","1,551.82","1,565.15"
10-Oct-07,"1,564.98","1,565.42","1,555.46","1,562.47"
11-Oct-07,"1,564.72","1,576.09","1,546.72","1,554.41"
12-Oct-07,"1,555.41","1,563.03","1,554.09","1,561.80"
15-Oct-07,"1,562.25","1,564.74","1,540.81","1,548.71"
16-Oct-07,"1,547.81","1,547.81","1,536.29","1,538.53"
17-Oct-07,"1,544.44","1,550.66","1,526.01","1,541.24"
18-Oct-07,"1,539.29","1,542.79","1,531.76","1,540.08"
19-Oct-07,"1,540.00","1,540.00","1,500.26","1,500.63"
22-Oct-07,"1,497.79","1,508.06","1,490.40","1,506.33"
23-Oct-07,"1,509.30","1,520.01","1,503.61","1,519.59"
24-Oct-07,"1,516.61","1,517.23","1,489.56","1,515.88"
