Date,Open,High,Low,Close
19-Feb-20,"3,380.39","3,393.52","3,378.83","3,386.15"
20-Feb-20,"3,380.45","3,389.15","3,341.02","3,373.23"
21-Feb-20,"3,360.50","3,360.76","3,328.45","3,337.75"
24-Feb-20,"3,257.61","3,259.81","3,214.65","3,225.89"
25-Feb-20,"3,238.94","3,246.99","3,118.77","3,128.21"
26-Feb-20,"3,139.90","3,182.51","3,108.99","3,116.39"
27-Feb-20,"3,062.54","3,097.07","2,977.39","2,978.76"
28-Feb-20,"2,916.90","2,959.72","2,855.84","2,954.22"
2-Mar-20,"2,974.28","3,090.96","2,945.19","3,090.23"
3-Mar-20,"3,096.46","3,136.72","2,976.63","3,003.37"
4-Mar-20,"3,045.75","3,130.97","3,034.38","3,130.12"
5-Mar-20,"3,075.70","3,083.04","2,999.83","3,023.94"
6-Mar-20,"2,954.20","2,985.93","2,901.54","2,972.37"
9-Mar-20,"2,863.89","2,863.89","2,734.43","2,746.56"
10-Mar-20,"2,813.48","2,882.59","2,734.00","2,882.23"
11-Mar-20,"2,825.60","2,825.60","2,707.22","2,741.38"
12-Mar-20,"2,630.86","2,660.95","2,478.86","2,480.64"
13-Mar-20,"2,569.99","2,711.33","2,492.37","2,711.02"
16-Mar-20,"2,508.59","2,562.98","2,380.94","2,386.13"
17-Mar-20,"2,425.66","2,553.93","2,367.04","2,529.19"
18-Mar-20,"2,436.50","2,453.57","2,280.52","2,398.10"
19-Mar-20,"2,393.48","2,466.97","2,319.78","2,409.39"
20-Mar-20,"2,431.94","2,453.01","2,295.56","2,304.92"
