Date,Open,High,Low,Close
4-Jan-22,"4,804.51","4,818.62","4,774.27","4,793.54"
5-Jan-22,"4,787.99","4,797.70","4,699.44","4,700.58"
6-Jan-22,"4,693.39","4,725.01","4,671.26","4,696.05"
7-Jan-22,"4,697.66","4,707.95","4,662.74","4,677.03"
10-Jan-22,"4,655.34","4,673.02","4,582.24","4,670.29"
11-Jan-22,"4,669.14","4,714.13","4,638.27","4,713.07"
12-Jan-22,"4,728.59","4,748.83","4,706.71","4,726.35"
13-Jan-22,"4,733.56","4,744.13","4,650.29","4,659.03"
14-Jan-22,"4,637.99","4,665.13","4,614.75","4,662.85"
18-Jan-22,"4,632.24","4,632.24","4,568.70","4,577.11"
19-Jan-22,"4,588.03","4,611.55","4,530.20","4,532.76"
20-Jan-22,"4,547.35","4,602.11","4,477.95","4,482.73"
21-Jan-22,"4,471.38","4,494.52","4,395.34","4,397.94"
24-Jan-22,"4,356.32","4,417.35","4,222.62","4,410.13"
25-Jan-22,"4,366.64","4,411.01","4,287.11","4,356.45"
26-Jan-22,"4,408.43","4,453.23","4,304.80","4,349.93"
27-Jan-22,"4,380.58","4,428.74","4,309.50","4,326.51"
28-Jan-22,"4,336.19","4,432.72","4,292.46","4,431.85"
31-Jan-22,"4,431.79","4,516.89","4,414.02","4,515.55"
1-Feb-22,"4,519.57","4,550.49","4,483.53","4,546.54"
2-Feb-22,"4,566.39","4,595.31","4,544.32","4,589.38"
3-Feb-22,"4,535.41","4,542.88","4,470.39","4,477.44"
4-Feb-22,"4,482.79","4,539.66","4,451.50","4,500.53"
7-Feb-22,"4,505.75","4,521.86","4,471.47","4,483.87"
8-Feb-22,"4,480.02","4,531.32","4,465.40","4,521.54"
9-Feb-22,"4,547.00","4,590.03","4,547.00","4,587.18"
10-Feb-22,"4,553.24","4,588.92","4,484.31","4,504.08"
11-Feb-22,"4,506.27","4,526.33","4,401.41","4,418.64"
14-Feb-22,"4,412.61","4,426.22","4,364.84","4,401.67"
15-Feb-22,"4,429.28","4,472.77","4,429.28","4,471.07"
16-Feb-22,"4,455.75","4,489.55","4,429.68","4,475.01"
17-Feb-22,"4,456.06","4,456.06","4,373.81","4,380.26"
18-Feb-22,"4,384.57","4,394.60","4,327.22","4,348.87"
22-Feb-22,"4,332.74","4,362.12","4,267.11","4,304.76"
23-Feb-22,"4,324.93","4,341.51","4,221.51","4,225.50"
24-Feb-22,"4,155.77","4,294.73","4,114.65","4,288.70"
25-Feb-22,"4,298.38","4,385.34","4,286.83","4,384.65"
28-Feb-22,"4,354.17","4,388.84","4,315.12","4,373.94"
1-Mar-22,"4,363.14","4,378.45","4,279.54","4,306.26"
2-Mar-22,"4,322.56","4,401.48","4,322.56","4,386.54"
3-Mar-22,"4,401.31","4,416.78","4,345.56","4,363.49"
4-Mar-22,"4,342.12","4,342.12","4,284.98","4,328.87"
7-Mar-22,"4,327.01","4,327.01","4,199.85","4,201.09"
8-Mar-22,"4,202.66","4,276.94","4,157.87","4,170.70"
9-Mar-22,"4,223.10","4,299.40","4,223.10","4,277.88"
10-Mar-22,"4,252.55","4,268.28","4,209.80","4,259.52"
11-Mar-22,"4,279.50","4,291.01","4,200.49","4,204.31"
14-Mar-22,"4,202.75","4,247.57","4,161.72","4,173.11"
15-Mar-22,"4,188.82","4,271.05","4,187.90","4,262.45"
16-Mar-22,"4,288.14","4,358.90","4,251.99","4,357.86"
17-Mar-22,"4,345.11","4,412.67","4,335.65","4,411.67"
18-Mar-22,"4,407.34","4,465.40","4,390.57","4,463.12"
21-Mar-22,"4,462.40","4,481.75","4,424.30","4,461.18"
22-Mar-22,"4,469.10","4,522.00","4,469.10","4,511.61"
23-Mar-22,"4,493.10","4,501.07","4,455.81","4,456.24"
24-Mar-22,"4,469.98","4,520.58","4,465.17","4,520.16"
25-Mar-22,"4,522.91","4,546.03","4,501.07","4,543.06"
28-Mar-22,"4,541.09","4,575.65","4,517.69","4,575.52"
29-Mar-22,"4,602.86","4,637.30","4,589.66","4,631.60"
30-Mar-22,"4,624.20","4,627.77","4,581.32","4,602.45"
31-Mar-22,"4,599.02","4,603.07","4,530.41","4,530.41"
1-Apr-22,"4,540.32","4,548.70","4,507.57","4,545.86"
4-Apr-22,"4,547.97","4,583.50","4,539.21","4,582.64"
5-Apr-22,"4,572.45","4,593.45","4,514.17","4,525.12"
6-Apr-22,"4,494.17","4,503.94","4,450.04","4,481.15"
7-Apr-22,"4,474.65","4,521.16","4,450.30","4,500.21"
8-Apr-22,"4,494.15","4,520.41","4,474.60","4,488.28"
11-Apr-22,"4,462.64","4,464.35","4,408.38","4,412.53"
