Date,Open,High,Low,Close
21-Mar-00,"1,456.63","1,493.92","1,446.06","1,493.87"
22-Mar-00,"1,493.87","1,505.08","1,487.33","1,500.64"
23-Mar-00,"1,500.64","1,532.50","1,492.39","1,527.35"
24-Mar-00,"1,527.35","1,552.87","1,516.83","1,527.46"
27-Mar-00,"1,527.46","1,534.63","1,518.46","1,523.86"
28-Mar-00,"1,523.86","1,527.36","1,507.09","1,507.73"
29-Mar-00,"1,507.73","1,521.45","1,497.45","1,508.52"
30-Mar-00,"1,508.52","1,517.38","1,474.63","1,487.92"
31-Mar-00,"1,487.92","1,519.81","1,484.38","1,498.58"
3-Apr-00,"1,498.58","1,507.19","1,486.96","1,505.97"
4-Apr-00,"1,505.98","1,526.45","1,416.41","1,494.73"
5-Apr-00,"1,494.73","1,506.55","1,478.05","1,487.37"
6-Apr-00,"1,487.37","1,511.76","1,487.37","1,501.34"
7-Apr-00,"1,501.34","1,518.68","1,501.34","1,516.35"
10-Apr-00,"1,516.35","1,527.19","1,503.35","1,504.46"
11-Apr-00,"1,504.46","1,512.80","1,486.78","1,500.59"
12-Apr-00,"1,500.59","1,509.08","1,466.15","1,467.17"
13-Apr-00,"1,467.17","1,477.52","1,439.34","1,440.51"
14-Apr-00,"1,440.51","1,440.51","1,339.40","1,356.56"
17-Apr-00,"1,356.56","1,401.53","1,346.50","1,401.44"
18-Apr-00,"1,401.44","1,441.61","1,397.81","1,441.61"
19-Apr-00,"1,441.61","1,447.69","1,424.26","1,427.47"
20-Apr-00,"1,427.47","1,435.49","1,422.08","1,434.54"
24-Apr-00,"1,434.54","1,434.54","1,407.13","1,429.86"
25-Apr-00,"1,429.86","1,477.67","1,429.86","1,477.44"
26-Apr-00,"1,477.44","1,482.94","1,456.98","1,460.99"
27-Apr-00,"1,460.99","1,469.21","1,434.81","1,464.92"
28-Apr-00,"1,464.92","1,473.62","1,448.15","1,452.43"
1-May-00,"1,452.43","1,481.51","1,452.43","1,468.25"
2-May-00,"1,468.25","1,468.25","1,445.22","1,446.29"
3-May-00,"1,446.29","1,446.29","1,398.36","1,415.10"
4-May-00,"1,415.10","1,420.99","1,404.94","1,409.57"
5-May-00,"1,409.57","1,436.03","1,405.08","1,432.63"
8-May-00,"1,432.63","1,432.63","1,417.05","1,424.17"
9-May-00,"1,424.17","1,430.28","1,401.85","1,412.14"
10-May-00,"1,412.14","1,412.14","1,375.14","1,383.05"
11-May-00,"1,383.05","1,410.26","1,383.05","1,407.81"
12-May-00,"1,407.81","1,430.13","1,407.81","1,420.96"
15-May-00,"1,420.96","1,452.39","1,416.54","1,452.36"
16-May-00,"1,452.36","1,470.40","1,450.76","1,466.04"
17-May-00,"1,466.04","1,466.04","1,441.67","1,447.80"
18-May-00,"1,447.80","1,458.04","1,436.59","1,437.21"
19-May-00,"1,437.21","1,437.21","1,401.74","1,406.95"
22-May-00,"1,406.95","1,410.55","1,368.73","1,400.72"
23-May-00,"1,400.72","1,403.77","1,373.43","1,373.86"
24-May-00,"1,373.86","1,401.75","1,361.09","1,399.05"
25-May-00,"1,399.05","1,411.65","1,373.93","1,381.52"
26-May-00,"1,381.52","1,391.42","1,369.75","1,378.02"
30-May-00,"1,378.02","1,422.45","1,378.02","1,422.45"
31-May-00,"1,422.44","1,434.49","1,415.50","1,420.60"
1-Jun-00,"1,420.60","1,448.81","1,420.60","1,448.81"
2-Jun-00,"1,448.81","1,483.23","1,448.81","1,477.26"
5-Jun-00,"1,477.26","1,477.28","1,464.68","1,467.63"
6-Jun-00,"1,467.63","1,471.36","1,454.74","1,457.84"
7-Jun-00,"1,457.84","1,474.64","1,455.06","1,471.36"
8-Jun-00,"1,471.36","1,475.65","1,456.49","1,461.67"
9-Jun-00,"1,461.67","1,472.67","1,454.96","1,456.95"
12-Jun-00,"1,456.95","1,462.93","1,445.99","1,446.00"
13-Jun-00,"1,446.00","1,470.42","1,442.38","1,469.44"
14-Jun-00,"1,469.44","1,483.62","1,467.71","1,470.54"
15-Jun-00,"1,470.54","1,482.04","1,464.62","1,478.73"
16-Jun-00,"1,478.73","1,480.77","1,460.42","1,464.46"
19-Jun-00,"1,464.46","1,488.93","1,459.05","1,486.00"
20-Jun-00,"1,486.00","1,487.32","1,470.18","1,475.95"
21-Jun-00,"1,475.95","1,482.19","1,468.00","1,479.13"
22-Jun-00,"1,479.13","1,479.13","1,448.03","1,452.18"
23-Jun-00,"1,452.18","1,459.94","1,438.31","1,441.48"
26-Jun-00,"1,441.48","1,459.66","1,441.48","1,455.31"
27-Jun-00,"1,455.31","1,463.35","1,450.55","1,450.55"
28-Jun-00,"1,450.55","1,467.63","1,450.55","1,454.82"
29-Jun-00,"1,454.82","1,455.14","1,434.63","1,442.39"
30-Jun-00,"1,442.39","1,454.68","1,438.71","1,454.60"
3-Jul-00,"1,454.60","1,469.58","1,450.85","1,469.54"
5-Jul-00,"1,469.54","1,469.54","1,442.45","1,446.23"
6-Jul-00,"1,446.23","1,461.65","1,439.56","1,456.67"
7-Jul-00,"1,456.67","1,484.12","1,456.67","1,478.90"
10-Jul-00,"1,478.90","1,486.56","1,474.76","1,475.62"
11-Jul-00,"1,475.62","1,488.77","1,470.48","1,480.88"
12-Jul-00,"1,480.88","1,497.69","1,480.88","1,492.92"
13-Jul-00,"1,492.92","1,501.39","1,489.65","1,495.84"
14-Jul-00,"1,495.84","1,509.99","1,494.56","1,509.98"
17-Jul-00,"1,509.98","1,517.32","1,505.26","1,510.49"
18-Jul-00,"1,510.49","1,510.49","1,491.35","1,493.74"
19-Jul-00,"1,493.74","1,495.63","1,479.92","1,481.96"
20-Jul-00,"1,481.96","1,501.92","1,481.96","1,495.57"
21-Jul-00,"1,495.57","1,495.57","1,477.91","1,480.19"
24-Jul-00,"1,480.19","1,485.88","1,463.80","1,464.29"
25-Jul-00,"1,464.29","1,476.23","1,464.29","1,474.47"
26-Jul-00,"1,474.47","1,474.47","1,452.42","1,452.42"
27-Jul-00,"1,452.42","1,464.91","1,445.33","1,449.62"
28-Jul-00,"1,449.62","1,456.68","1,413.89","1,419.89"
31-Jul-00,"1,419.89","1,437.65","1,418.71","1,430.83"
1-Aug-00,"1,430.83","1,443.54","1,428.96","1,438.10"
2-Aug-00,"1,438.10","1,451.59","1,433.49","1,438.70"
3-Aug-00,"1,438.70","1,454.19","1,425.43","1,452.56"
4-Aug-00,"1,452.56","1,462.93","1,451.31","1,462.93"
7-Aug-00,"1,462.93","1,480.80","1,460.72","1,479.32"
8-Aug-00,"1,479.32","1,484.52","1,472.61","1,482.80"
9-Aug-00,"1,482.80","1,490.33","1,471.16","1,472.87"
10-Aug-00,"1,472.87","1,475.15","1,459.89","1,460.25"
11-Aug-00,"1,460.25","1,475.72","1,453.06","1,471.84"
14-Aug-00,"1,471.84","1,491.64","1,468.56","1,491.56"
15-Aug-00,"1,491.56","1,493.12","1,482.74","1,484.43"
16-Aug-00,"1,484.43","1,496.09","1,475.74","1,479.85"
17-Aug-00,"1,479.85","1,499.32","1,479.85","1,496.07"
18-Aug-00,"1,496.07","1,499.47","1,488.99","1,491.72"
21-Aug-00,"1,491.72","1,502.84","1,491.13","1,499.48"
22-Aug-00,"1,499.48","1,508.45","1,497.42","1,498.13"
23-Aug-00,"1,498.13","1,507.20","1,489.52","1,505.97"
24-Aug-00,"1,505.97","1,511.16","1,501.25","1,508.31"
25-Aug-00,"1,508.31","1,513.47","1,505.09","1,506.45"
28-Aug-00,"1,506.45","1,523.95","1,506.45","1,514.09"
29-Aug-00,"1,514.09","1,514.81","1,505.46","1,509.84"
30-Aug-00,"1,509.84","1,510.49","1,500.09","1,502.59"
31-Aug-00,"1,502.59","1,525.21","1,502.59","1,517.68"
1-Sep-00,"1,517.68","1,530.09","1,515.53","1,520.77"
5-Sep-00,"1,520.77","1,520.77","1,504.21","1,507.08"
6-Sep-00,"1,507.08","1,512.61","1,492.12","1,492.25"
7-Sep-00,"1,492.25","1,505.34","1,492.25","1,502.51"
8-Sep-00,"1,502.51","1,502.51","1,489.88","1,494.50"
11-Sep-00,"1,494.50","1,506.76","1,483.01","1,489.26"
12-Sep-00,"1,489.26","1,496.93","1,479.67","1,481.99"
13-Sep-00,"1,481.99","1,487.45","1,473.61","1,484.91"
14-Sep-00,"1,484.91","1,494.16","1,476.73","1,480.87"
15-Sep-00,"1,480.87","1,480.96","1,460.22","1,465.81"
18-Sep-00,"1,465.81","1,467.77","1,441.92","1,444.51"
19-Sep-00,"1,444.51","1,461.16","1,444.51","1,459.90"
20-Sep-00,"1,459.90","1,460.49","1,430.95","1,451.34"
21-Sep-00,"1,451.34","1,452.77","1,436.30","1,449.05"
22-Sep-00,"1,449.05","1,449.05","1,421.88","1,448.72"
25-Sep-00,"1,448.72","1,457.42","1,435.93","1,439.03"
26-Sep-00,"1,439.03","1,448.04","1,425.25","1,427.21"
27-Sep-00,"1,427.21","1,437.22","1,419.44","1,426.57"
28-Sep-00,"1,426.57","1,461.69","1,425.78","1,458.29"
29-Sep-00,"1,458.29","1,458.29","1,436.29","1,436.51"
2-Oct-00,"1,436.52","1,445.60","1,429.83","1,436.23"
3-Oct-00,"1,436.23","1,454.82","1,425.28","1,426.46"
4-Oct-00,"1,426.46","1,439.99","1,416.31","1,434.32"
5-Oct-00,"1,434.32","1,444.17","1,431.80","1,436.28"
6-Oct-00,"1,436.28","1,443.30","1,397.06","1,408.99"
9-Oct-00,"1,408.99","1,409.69","1,392.48","1,402.03"
10-Oct-00,"1,402.03","1,408.83","1,383.85","1,387.02"
11-Oct-00,"1,387.02","1,387.02","1,349.67","1,364.59"
12-Oct-00,"1,364.59","1,374.93","1,328.06","1,329.78"
13-Oct-00,"1,329.78","1,374.17","1,327.08","1,374.17"
16-Oct-00,"1,374.17","1,379.48","1,365.06","1,374.62"
17-Oct-00,"1,374.62","1,380.99","1,342.34","1,349.97"
18-Oct-00,"1,349.97","1,356.65","1,305.79","1,342.13"
19-Oct-00,"1,342.13","1,389.93","1,342.13","1,388.76"
20-Oct-00,"1,388.76","1,408.47","1,382.19","1,396.93"
23-Oct-00,"1,396.93","1,406.96","1,387.75","1,395.78"
24-Oct-00,"1,395.78","1,415.64","1,388.13","1,398.13"
25-Oct-00,"1,398.13","1,398.13","1,362.21","1,364.90"
26-Oct-00,"1,364.90","1,372.72","1,337.81","1,364.44"
